Month,Coal,Natural Gas,Petroleum,Total Fossil Fuels,Biomass,Total Primary Energy,Electricity Sales to Ultimate Customers,End-Use Energy Consumed,Electrical System Energy Losses,Total Energy Consumed
1973 January,0,79.095,1425.71,1504.805,Not Available,1504.805,0.925,1505.729,1.906,1507.635
1973 February,0,71.616,1366.681,1438.298,Not Available,1438.298,0.871,1439.169,1.599,1440.768
1973 March,0.045,67.877,1493.371,1561.293,Not Available,1561.293,0.856,1562.149,1.669,1563.818
1973 April,0.294,61.814,1418.295,1480.403,Not Available,1480.403,0.811,1481.214,1.544,1482.758
1973 May,0.384,58.243,1563.488,1622.115,Not Available,1622.115,0.823,1622.938,1.707,1624.645
1973 June,0.339,51.674,1489.364,1541.377,Not Available,1541.377,0.846,1542.223,1.88,1544.103
1973 July,0.294,52.483,1532.195,1584.971,Not Available,1584.971,0.913,1585.884,2.048,1587.932
1973 August,0.316,53.291,1593.301,1646.908,Not Available,1646.908,0.897,1647.806,2.011,1649.816
1973 September,0.271,51.439,1451.733,1503.443,Not Available,1503.443,0.925,1504.368,1.737,1506.105
1973 October,0.271,57.535,1519.898,1577.704,Not Available,1577.704,0.893,1578.597,1.815,1580.412
1973 November,0.248,64.171,1517.118,1581.538,Not Available,1581.538,0.901,1582.439,1.827,1584.266
1973 December,0.158,73.502,1460.774,1534.434,Not Available,1534.434,0.87,1535.305,1.817,1537.122
1974 January,0,71.96,1366.135,1438.094,Not Available,1438.094,0.838,1438.932,1.651,1440.584
1974 February,0,66.28,1272.633,1338.913,Not Available,1338.913,0.77,1339.683,1.407,1341.09
1974 March,0.067,64.635,1415.834,1480.536,Not Available,1480.536,0.787,1481.322,1.578,1482.9
1974 April,0.224,54.567,1412.766,1467.557,Not Available,1467.557,0.772,1468.329,1.467,1469.796
1974 May,0.179,51.888,1505.195,1557.263,Not Available,1557.263,0.785,1558.047,1.691,1559.739
1974 June,0.135,46.435,1479.331,1525.901,Not Available,1525.901,0.778,1526.678,1.596,1528.275
1974 July,0.157,48.855,1530.038,1579.05,Not Available,1579.05,0.832,1579.882,1.94,1581.822
1974 August,0.202,48.726,1552.927,1601.854,Not Available,1601.854,0.849,1602.704,1.82,1604.524
1974 September,0.202,49.597,1406.682,1456.481,Not Available,1456.481,0.834,1457.314,1.512,1458.826
1974 October,0.179,55.051,1514.506,1569.737,Not Available,1569.737,0.804,1570.541,1.669,1572.21
1974 November,0.336,58.956,1447.928,1507.22,Not Available,1507.22,0.829,1508.049,1.766,1509.815
1974 December,0.112,67.894,1496.624,1564.631,Not Available,1564.631,0.844,1565.475,1.87,1567.345
1975 January,0.022,68.415,1473.13,1541.567,Not Available,1541.567,0.887,1542.454,1.835,1544.289
1975 February,0.022,59.012,1299.886,1358.921,Not Available,1358.921,0.826,1359.746,1.518,1361.264
1975 March,0,57.917,1458.773,1516.69,Not Available,1516.69,0.84,1517.53,1.68,1519.21
1975 April,0.067,47.934,1460.512,1508.513,Not Available,1508.513,0.785,1509.297,1.506,1510.803
1975 May,0.09,40.508,1502.723,1543.321,Not Available,1543.321,0.805,1544.126,1.71,1545.835
1975 June,0.067,38.256,1489.416,1527.739,Not Available,1527.739,0.802,1528.541,1.715,1530.256
1975 July,0.045,39.96,1517.672,1557.676,Not Available,1557.676,0.841,1558.517,1.875,1560.392
1975 August,0.045,41.664,1516.132,1557.841,Not Available,1557.841,0.85,1558.691,1.867,1560.558
1975 September,0.045,41.695,1449.343,1491.082,Not Available,1491.082,0.89,1491.973,1.58,1493.552
1975 October,0.067,46.99,1521.082,1568.14,Not Available,1568.14,0.856,1568.995,1.749,1570.744
1975 November,0.045,49.912,1392.123,1442.08,Not Available,1442.08,0.89,1442.969,1.793,1444.763
1975 December,0.022,62.36,1534.597,1596.979,Not Available,1596.979,0.88,1597.858,1.909,1599.767
1976 January,0,64.177,1466.796,1530.972,Not Available,1530.972,0.92,1531.892,1.933,1533.824
1976 February,0,54.288,1364.589,1418.877,Not Available,1418.877,0.847,1419.724,1.542,1421.265
1976 March,0,48.21,1556.697,1604.907,Not Available,1604.907,0.863,1605.77,1.769,1607.539
1976 April,0.023,42.243,1540.285,1582.55,Not Available,1582.55,0.779,1583.329,1.506,1584.835
1976 May,0.045,40.17,1525.021,1565.236,Not Available,1565.236,0.792,1566.028,1.61,1567.638
1976 June,0.023,37.397,1573.901,1611.321,Not Available,1611.321,0.777,1612.097,1.739,1613.836
1976 July,0.023,38.434,1610.585,1649.041,Not Available,1649.041,0.847,1649.888,1.883,1651.771
1976 August,0.023,36.893,1569.914,1606.829,Not Available,1606.829,0.843,1607.672,1.804,1609.476
1976 September,0.045,36.472,1543.452,1579.969,Not Available,1579.969,0.886,1580.855,1.64,1582.494
1976 October,0.045,45.409,1554.012,1599.466,Not Available,1599.466,0.817,1600.283,1.695,1601.978
1976 November,0.023,52.523,1546.232,1598.778,Not Available,1598.778,0.839,1599.617,1.837,1601.454
1976 December,0.023,62.525,1656.242,1718.789,Not Available,1718.789,0.851,1719.64,1.906,1721.546
1977 January,0,66.928,1513.713,1580.641,Not Available,1580.641,0.928,1581.569,2.118,1583.687
1977 February,0,50.495,1475.331,1525.826,Not Available,1525.826,0.854,1526.679,1.573,1528.252
1977 March,0,47.686,1609.075,1656.761,Not Available,1656.761,0.911,1657.672,1.894,1659.566
1977 April,0.022,40.012,1598.692,1638.726,Not Available,1638.726,0.803,1639.529,1.621,1641.15
1977 May,0.022,38.344,1580.064,1618.43,Not Available,1618.43,0.831,1619.26,1.893,1621.153
1977 June,0.045,37.065,1638.552,1675.661,Not Available,1675.661,0.829,1676.49,1.909,1678.4
1977 July,0.022,36.842,1630.154,1667.019,Not Available,1667.019,0.877,1667.896,2.078,1669.974
1977 August,0.022,37.926,1675.674,1713.623,Not Available,1713.623,0.863,1714.486,1.931,1716.416
1977 September,0.022,39.679,1605.498,1645.199,Not Available,1645.199,0.88,1646.079,1.753,1647.832
1977 October,0.022,42.209,1624.746,1666.977,Not Available,1666.977,0.885,1667.862,1.783,1669.645
1977 November,0.022,46.991,1599.934,1646.948,Not Available,1646.948,0.871,1647.819,1.877,1649.695
1977 December,0,58.614,1691.857,1750.471,Not Available,1750.471,0.898,1751.368,2.039,1753.407
1978 January,0,65.407,1581.673,1647.08,Not Available,1647.08,0.902,1647.982,2.024,1650.006
1978 February,0,58.735,1516.615,1575.349,Not Available,1575.349,0.86,1576.21,1.696,1577.906
1978 March,0,52.666,1709.551,1762.218,Not Available,1762.218,0.827,1763.045,1.699,1764.744
1978 April,0,42.26,1627.321,1669.581,Not Available,1669.581,0.734,1670.315,1.445,1671.76
1978 May,0,37.894,1747.143,1785.037,Not Available,1785.037,0.766,1785.803,1.688,1787.49
1978 June,0,34.296,1707.998,1742.294,Not Available,1742.294,0.799,1743.093,1.783,1744.877
1978 July,0,36.602,1685.508,1722.111,Not Available,1722.111,0.872,1722.983,1.978,1724.96
1978 August,0,35.285,1764.95,1800.235,Not Available,1800.235,0.841,1801.076,1.898,1802.974
1978 September,0,33.912,1620.611,1654.523,Not Available,1654.523,0.881,1655.405,1.703,1657.108
1978 October,0,39.541,1695.278,1734.818,Not Available,1734.818,0.822,1735.64,1.666,1737.306
1978 November,0,45.527,1676.734,1722.261,Not Available,1722.261,0.868,1723.129,1.886,1725.015
1978 December,0,56.813,1710.511,1767.324,Not Available,1767.324,0.854,1768.178,1.94,1770.117
1979 January,0,73.326,1662.158,1735.484,Not Available,1735.484,0.936,1736.42,2.116,1738.536
1979 February,0,66.616,1602.171,1668.787,Not Available,1668.787,0.855,1669.642,1.693,1671.335
1979 March,0,56.853,1776.287,1833.141,Not Available,1833.141,0.835,1833.975,1.655,1835.63
1979 April,0,48.179,1602.661,1650.84,Not Available,1650.84,0.776,1651.616,1.504,1653.12
1979 May,0,43.192,1695.68,1738.872,Not Available,1738.872,0.779,1739.651,1.622,1741.273
1979 June,0,39.565,1635.445,1675.01,Not Available,1675.01,0.789,1675.799,1.704,1677.503
1979 July,0,40.199,1619.12,1659.318,Not Available,1659.318,0.827,1660.146,1.895,1662.041
1979 August,0,40.562,1703.201,1743.763,Not Available,1743.763,0.879,1744.642,1.941,1746.583
1979 September,0,40.169,1589.046,1629.215,Not Available,1629.215,0.89,1630.104,1.726,1631.83
1979 October,0,47.06,1688.244,1735.304,Not Available,1735.304,0.852,1736.155,1.816,1737.972
1979 November,0,53.438,1589.428,1642.866,Not Available,1642.866,0.853,1643.719,1.815,1645.534
1979 December,0,62.626,1662.057,1724.684,Not Available,1724.684,0.847,1725.531,1.857,1727.388
1980 January,0,72.704,1606.771,1679.475,Not Available,1679.475,0.996,1680.471,2.151,1682.622
1980 February,0,69.632,1556.116,1625.748,Not Available,1625.748,0.926,1626.675,1.865,1628.54
1980 March,0,67.584,1619.965,1687.549,Not Available,1687.549,0.905,1688.454,1.853,1690.307
1980 April,0,50.176,1625,1675.176,Not Available,1675.176,0.839,1676.015,1.599,1677.615
1980 May,0,44.032,1609.23,1653.262,Not Available,1653.262,0.872,1654.134,1.857,1655.99
1980 June,0,40.96,1546.526,1587.486,Not Available,1587.486,0.861,1588.347,1.918,1590.265
1980 July,0,41.984,1599.663,1641.647,Not Available,1641.647,0.933,1642.58,2.223,1644.803
1980 August,0,41.984,1556.031,1598.015,Not Available,1598.015,0.941,1598.955,2.091,1601.046
1980 September,0,41.984,1549.549,1591.533,Not Available,1591.533,0.987,1592.52,1.913,1594.433
1980 October,0,50.176,1626.462,1676.638,Not Available,1676.638,0.927,1677.565,1.908,1679.473
1980 November,0,57.344,1484.075,1541.419,Not Available,1541.419,0.911,1542.33,1.972,1544.302
1980 December,0,69.632,1629.879,1699.511,Not Available,1699.511,0.971,1700.482,2.128,1702.61
1981 January,0,76.875,1627.29,1704.165,0.571,1704.736,0.969,1705.706,2.014,1707.72
1981 February,0,64.575,1442.25,1506.825,0.516,1507.341,0.91,1508.25,1.649,1509.899
1981 March,0,64.575,1573.824,1638.399,0.571,1638.97,0.902,1639.872,1.866,1641.738
1981 April,0,50.225,1541.677,1591.902,0.553,1592.455,0.842,1593.296,1.704,1595
1981 May,0,48.175,1568.869,1617.044,0.571,1617.615,0.87,1618.484,1.849,1620.333
1981 June,0,44.075,1603.412,1647.487,0.553,1648.04,0.869,1648.909,1.956,1650.865
1981 July,0,44.075,1626.641,1670.716,0.571,1671.287,0.914,1672.2,2.025,1674.225
1981 August,0,44.075,1588.896,1632.971,0.571,1633.542,0.917,1634.459,1.928,1636.387
1981 September,0,43.05,1550.128,1593.178,0.553,1593.731,0.919,1594.65,1.772,1596.422
1981 October,0,51.25,1562.499,1613.749,0.571,1614.32,0.901,1615.221,1.854,1617.075
1981 November,0,55.35,1498.831,1554.181,0.553,1554.734,0.916,1555.65,1.897,1557.547
1981 December,0,70.725,1628.391,1699.116,0.571,1699.687,0.943,1700.63,2.067,1702.697
1982 January,0,81.054,1486.412,1567.466,1.553,1569.019,1.019,1570.038,2.179,1572.217
1982 February,0,67.716,1421.451,1489.167,1.403,1490.569,0.957,1491.526,1.723,1493.249
1982 March,0,62.586,1565.857,1628.443,1.553,1629.996,0.933,1630.929,1.854,1632.783
1982 April,0,50.274,1595.364,1645.638,1.503,1647.141,0.879,1648.02,1.686,1649.706
1982 May,0,38.988,1567.292,1606.28,1.553,1607.833,0.897,1608.73,1.891,1610.621
1982 June,0,37.962,1560.432,1598.394,1.503,1599.897,0.87,1600.767,1.828,1602.595
1982 July,0,38.988,1569.536,1608.524,1.553,1610.077,0.904,1610.981,2.071,1613.052
1982 August,0,38.988,1549.712,1588.7,1.553,1590.253,0.875,1591.128,1.868,1592.997
1982 September,0,38.988,1504.202,1543.19,1.503,1544.693,0.925,1545.618,1.81,1547.428
1982 October,0,44.118,1518.004,1562.122,1.553,1563.675,0.911,1564.586,1.877,1566.463
1982 November,0,53.352,1528.362,1581.714,1.503,1583.217,0.916,1584.132,1.919,1586.051
1982 December,0,59.508,1555.386,1614.894,1.553,1616.447,0.916,1617.363,1.915,1619.279
1983 January,0,52.529,1450.997,1503.526,2.864,1506.39,1.146,1507.536,2.344,1509.88
1983 February,0,42.023,1325.614,1367.637,2.587,1370.224,1.093,1371.318,1.919,1373.236
1983 March,0,43.933,1625.711,1669.645,2.864,1672.509,1.089,1673.598,2.179,1675.777
1983 April,0,39.158,1496.286,1535.444,2.772,1538.215,0.995,1539.21,1.844,1541.054
1983 May,0,40.113,1572.564,1612.677,2.864,1615.541,0.982,1616.524,1.991,1618.514
1983 June,0,40.113,1596.455,1636.568,2.772,1639.34,0.984,1640.324,2.066,1642.39
1983 July,0,42.023,1576.384,1618.408,2.864,1621.271,1.067,1622.338,2.381,1624.719
1983 August,0,41.068,1620.082,1661.15,2.864,1664.014,1.088,1665.101,2.363,1667.465
1983 September,0,38.203,1562.312,1600.515,2.772,1603.287,1.1,1604.386,1.988,1606.374
1983 October,0,40.113,1573.624,1613.737,2.864,1616.601,1.026,1617.627,2.044,1619.672
1983 November,0,40.113,1536.751,1576.864,2.772,1579.636,1.037,1580.672,2.116,1582.788
1983 December,0,45.843,1658.421,1704.264,2.864,1707.128,1.069,1708.197,2.397,1710.595
1984 January,0,56.624,1558.063,1614.687,3.495,1618.182,1.273,1619.455,2.495,1621.95
1984 February,0,45.299,1426.402,1471.701,3.27,1474.971,1.168,1476.139,2.094,1478.233
1984 March,0,47.358,1592.102,1639.46,3.495,1642.955,1.205,1644.161,2.384,1646.545
1984 April,0,42.21,1576.951,1619.162,3.382,1622.544,1.107,1623.651,2.017,1625.669
1984 May,0,43.24,1647.562,1690.801,3.495,1694.297,1.145,1695.442,2.315,1697.757
1984 June,0,43.24,1616.12,1659.36,3.382,1662.742,1.172,1663.915,2.475,1666.39
1984 July,0,45.299,1629.222,1674.521,3.495,1678.016,1.223,1679.239,2.563,1681.803
1984 August,0,44.269,1675.55,1719.819,3.495,1723.315,1.238,1724.552,2.681,1727.234
1984 September,0,41.181,1543.308,1584.488,3.382,1587.871,1.184,1589.055,2.172,1591.227
1984 October,0,43.24,1617.736,1660.976,3.495,1664.472,1.176,1665.647,2.366,1668.013
1984 November,0,43.24,1569.044,1612.284,3.382,1615.666,1.194,1616.861,2.436,1619.296
1984 December,0,49.417,1570.699,1620.116,3.495,1623.611,1.206,1624.817,2.451,1627.268
1985 January,0,55.648,1583.221,1638.869,4.224,1643.093,1.209,1644.302,2.623,1646.925
1985 February,0,47.404,1449.649,1497.053,3.816,1500.869,1.172,1502.041,2.055,1504.096
1985 March,0,43.282,1627.054,1670.336,4.224,1674.56,1.143,1675.703,2.224,1677.927
1985 April,0,40.19,1638.343,1678.534,4.088,1682.622,1.172,1683.794,2.197,1685.991
1985 May,0,41.221,1685.444,1726.665,4.224,1730.889,1.148,1732.037,2.375,1734.412
1985 June,0,39.16,1614.05,1653.21,4.088,1657.298,1.139,1658.437,2.377,1660.814
1985 July,0,41.221,1671.677,1712.898,4.224,1717.122,1.187,1718.309,2.621,1720.93
1985 August,0,40.19,1723.561,1763.752,4.224,1767.976,1.21,1769.186,2.579,1771.765
1985 September,0,38.129,1550.654,1588.783,4.088,1592.871,1.208,1594.079,2.227,1596.306
1985 October,0,40.19,1668.035,1708.225,4.224,1712.45,1.148,1713.598,2.323,1715.92
1985 November,0,40.19,1592.577,1632.767,4.088,1636.855,1.208,1638.063,2.455,1640.518
1985 December,0,52.557,1668.118,1720.675,4.224,1724.899,1.204,1726.104,2.581,1728.685
1986 January,0,51.882,1595.618,1647.5,4.878,1652.378,1.308,1653.686,2.577,1656.264
1986 February,0,44.619,1455.968,1500.587,4.406,1504.993,1.239,1506.232,2.225,1508.457
1986 March,0,43.581,1692.115,1735.697,4.878,1740.575,1.234,1741.809,2.312,1744.121
1986 April,0,37.355,1677.238,1714.593,4.721,1719.314,1.133,1720.447,2.11,1722.557
1986 May,0,39.431,1722.092,1761.522,4.878,1766.4,1.228,1767.629,2.532,1770.161
1986 June,0,38.393,1688.318,1726.711,4.721,1731.432,1.241,1732.672,2.564,1735.236
1986 July,0,39.431,1773.254,1812.684,4.878,1817.562,1.36,1818.922,2.988,1821.91
1986 August,0,39.431,1781.959,1821.39,4.878,1826.268,1.309,1827.577,2.614,1830.191
1986 September,0,37.355,1623.86,1661.216,4.721,1665.936,1.292,1667.228,2.478,1669.706
1986 October,0,39.431,1743.04,1782.47,4.878,1787.349,1.268,1788.617,2.44,1791.057
1986 November,0,39.431,1645.096,1684.526,4.721,1689.247,1.129,1690.376,2.342,1692.719
1986 December,0,48.769,1784.858,1833.627,4.878,1838.505,1.316,1839.821,2.664,1842.485
1987 January,0,54.872,1655.68,1710.552,5.612,1716.164,1.333,1717.496,2.688,1720.184
1987 February,0,46.59,1561.023,1607.613,5.068,1612.681,1.283,1613.964,2.288,1616.252
1987 March,0,45.554,1716.76,1762.315,5.612,1767.926,1.258,1769.185,2.448,1771.632
1987 April,0,43.484,1731.056,1774.54,5.431,1779.97,1.228,1781.199,2.333,1783.531
1987 May,0,43.484,1775.987,1819.471,5.612,1825.083,1.264,1826.346,2.625,1828.972
1987 June,0,41.413,1760.073,1801.486,5.431,1806.917,1.31,1808.226,2.782,1811.009
1987 July,0,39.342,1831.187,1870.53,5.612,1876.141,1.36,1877.501,2.921,1880.422
1987 August,0,41.413,1780.002,1821.415,5.612,1827.027,1.374,1828.401,2.838,1831.239
1987 September,0,39.342,1726.655,1765.997,5.431,1771.428,1.305,1772.733,2.405,1775.138
1987 October,0,42.448,1805.772,1848.221,5.612,1853.832,1.279,1855.111,2.487,1857.598
1987 November,0,44.519,1675.449,1719.968,5.431,1725.398,1.273,1726.672,2.59,1729.262
1987 December,0,52.802,1797.821,1850.623,5.612,1856.235,1.3,1857.535,2.725,1860.26
1988 January,0,64.818,1739.675,1804.492,5.685,1810.178,1.331,1811.509,2.683,1814.192
1988 February,0,56.587,1703.923,1760.51,5.319,1765.828,1.315,1767.143,2.461,1769.604
1988 March,0,54.529,1858.174,1912.703,5.685,1918.388,1.272,1919.66,2.518,1922.178
1988 April,0,47.327,1785.366,1832.694,5.502,1838.196,1.235,1839.431,2.367,1841.798
1988 May,0,50.414,1785.829,1836.243,5.685,1841.929,1.245,1843.174,2.6,1845.774
1988 June,0,48.356,1826.931,1875.287,5.502,1880.789,1.343,1882.131,2.91,1885.041
1988 July,0,50.414,1802.641,1853.055,5.685,1858.741,1.402,1860.142,3.07,1863.212
1988 August,0,50.414,1836.251,1886.665,5.685,1892.35,1.425,1893.776,3.06,1896.836
1988 September,0,48.356,1765.268,1813.624,5.502,1819.126,1.385,1820.511,2.538,1823.049
1988 October,0,50.414,1830.692,1881.106,5.685,1886.791,1.35,1888.142,2.662,1890.803
1988 November,0,52.471,1771.083,1823.555,5.502,1829.057,1.287,1830.344,2.577,1832.92
1988 December,0,57.616,1861.959,1919.575,5.685,1925.26,1.341,1926.601,2.8,1929.401
1989 January,0,58.759,1750.998,1809.757,5.783,1815.54,1.358,1816.898,2.74,1819.638
1989 February,0,58.759,1638.2,1696.96,5.223,1702.183,1.285,1703.468,2.579,1706.047
